id,name,type,frameType,desc,atk,def,level,race,attribute,archetype,Set Code,Set_Rarity,Set_Name,Set_Price
76634149,Kairyu-Shin,Normal Monster,normal,"A sea dragon known as the King of the Ocean, it attacks its enemies with huge tidal waves.",1800.0,1500.0,5.0,Sea Serpent,WATER,,SBTK-EN003,(C),Speed Duel: Trials of the Kingdom,3.95
30208479,Magician of Black Chaos,Ritual Monster,ritual,"You can Ritual Summon this card with ""Black Magic Ritual"".",2800.0,2600.0,8.0,Spellcaster,DARK,Dark Magician,SBTK-EN001,(UR),Speed Duel: Trials of the Kingdom,8.53
71466592,Maryokutai,Effect Monster,effect,"During your opponent's turn, when your opponent activates a Spell Card (Quick Effect): You can Tribute this card; negate the activation, and if you do, destroy it.",900.0,900.0,3.0,Aqua,WATER,,SBTK-EN014,(C),Speed Duel: Trials of the Kingdom,1.13
65957473,Metal Armored Bug,Normal Monster,normal,A gigantic insect-like creature covered by thick armor. Everything in his path is destroyed.,2800.0,1500.0,8.0,Insect,EARTH,,SBTK-EN010,(C),Speed Duel: Trials of the Kingdom,1.09
14457896,Parasite Paranoid,Effect Monster,effect,"(Quick Effect): You can target 1 face-up monster on the field; equip this card from your hand to that target. The equipped monster becomes an Insect monster, cannot attack Insect monsters, also its effects that activate by targeting an Insect monster(s) are negated. You can only use this effect of ""Parasite Paranoid"" once per turn. If this Equip Card is sent to the GY: You can Special Summon 1 Level 7 or higher Insect monster from your hand, ignoring its Summoning conditions.",500.0,300.0,2.0,Insect,EARTH,Parasite,SBTK-EN028,(UR),Speed Duel: Trials of the Kingdom,18.58
19153634,Patrician of Darkness,Effect Monster,effect,You choose the attack targets for your opponent's attacks.,2000.0,1400.0,5.0,Zombie,DARK,,SBTK-EN013,(C),Speed Duel: Trials of the Kingdom,1.09
16222645,Sasuke Samurai,Effect Monster,effect,"At the start of the Damage Step, if this card attacks a face-down Defense Position monster: Destroy that face-down monster.",500.0,800.0,2.0,Warrior,WIND,,SBTK-EN015,(C),Speed Duel: Trials of the Kingdom,1.11
81443745,Sealing Ceremony of Suiton,Trap Card,trap,"Once per turn: You can send 1 WATER monster from your hand to the GY, then target 1 card in your opponent's GY; banish that target.",,,,Continuous,,,SBTK-EN044,(C),Speed Duel: Trials of the Kingdom,1.06
56830749,Share the Pain,Spell Card,spell,Tribute 1 monster; make your opponent Tribute 1 monster (for no effect).,,,,Normal,,,SBTK-EN032,(C),Speed Duel: Trials of the Kingdom,1.14
14771222,Shore Knight,Effect Monster,effect,"Once per turn, if the battle position of this face-up card on the field is changed: Send 1 WATER monster from your Deck to the GY.",1400.0,1200.0,4.0,Warrior,WATER,,SBTK-EN026,(C),Speed Duel: Trials of the Kingdom,1.05
2504891,Skull Knight,Fusion Monster,fusion,"""Tainted Wisdom"" + ""Ancient Brain""",2650.0,2250.0,7.0,Spellcaster,DARK,,SBTK-EN029,(C),Speed Duel: Trials of the Kingdom,1.15
33951077,Super War-Lion,Ritual Monster,ritual,"You can Ritual Summon this card with ""War-Lion Ritual"".",2300.0,2100.0,7.0,Beast,EARTH,,SBTK-EN030,(C),Speed Duel: Trials of the Kingdom,1.1
33057951,Surface,Spell Card,spell,"Target 1 Level 3 or lower Fish, Sea Serpent, or Aqua monster in your GY; Special Summon it in face-up Defense Position.",,,,Normal,,,SBTK-EN036,(SR),Speed Duel: Trials of the Kingdom,3.69
300104005,Switcheroo,Skill Card,skill,"Activate this Skill during your Main Phase. Once per turn, you can shuffle 1 card from your hand into the Deck, then draw 1 card, also flip this card over. You can use this Skill up to twice per Duel.",,,,Keith,,,SBTK-ENS05,(UR),Speed Duel: Trials of the Kingdom,2.99
83682725,Tail Swipe,Spell Card,spell,"Target 1 Level 5 or higher Dinosaur monster you control; if that Dinosaur monster is still face-up on the field, choose up to 2 monsters your opponent controls that have a lower Level than it, or are face-down, and return the chosen monsters to the hand.",,,,Normal,,,SBTK-EN034,(C),Speed Duel: Trials of the Kingdom,1.12
28725004,Tainted Wisdom,Effect Monster,effect,If this Attack Position card is changed to face-up Defense Position: Shuffle your Deck.,1250.0,800.0,3.0,Fiend,DARK,,SBTK-EN011,(C),Speed Duel: Trials of the Kingdom,1.08
300104002,Terror from the Deep!,Skill Card,skill,"Activate this Skill during your Main Phase, while you control ""Kairyu-Shin"". When this Skill is activated, you can activate ""Umi"" directly from your hand, Deck or GY. While you control ""Kairyu-Shin"", all WATER monsters you control are unaffected by Trap effects. If ""Kairyu-Shin"" you control leaves the field, draw 2 cards, and if you do, flip this card over.",,,,Mako,,Umi,SBTK-ENS02,(SR),Speed Duel: Trials of the Kingdom,1.5
19801646,The Legendary Fisherman II,Effect Monster,effect,"This card's name becomes ""The Legendary Fisherman"" while on the field or in the GY. While ""Umi"" is on the field, this card is unaffected by other monsters' effects. If this face-up card is destroyed by battle, or leaves the field because of an opponent's card effect while its owner controls it: You can add 1 Level 7 WATER monster from your Deck to your hand.",2200.0,1800.0,5.0,Warrior,WATER,Umi,SBTK-EN027,(UR),Speed Duel: Trials of the Kingdom,10.99
80987696,Time Machine,Trap Card,trap,"When a monster is destroyed by battle and sent to the GY: Special Summon that monster to the same field it was on, in the same battle position it was in when destroyed.",,,,Normal,,,SBTK-EN039,(UR),Speed Duel: Trials of the Kingdom,3.99
3149764,Tutan Mask,Trap Card,trap,"When a Spell/Trap Card is activated that targets exactly 1 Zombie monster on the field (and no other cards): Negate the activation, and if you do, destroy it.",,,,Counter,,,SBTK-EN040,(C),Speed Duel: Trials of the Kingdom,1.06
10813327,Waking the Dragon,Trap Card,trap,"If this Set card in its owner's control has left the field because of an opponent's effect, and is now in the GY or banished: You can Special Summon 1 monster from your Deck or Extra Deck.",,,,Normal,,,SBTK-EN045,(C),Speed Duel: Trials of the Kingdom,2.02
54539105,War-Lion Ritual,Spell Card,spell,"This card is used to Ritual Summon ""Super War-Lion"". You must also Tribute monsters from your hand or field whose total Levels equal 7 or more.",,,,Ritual,,,SBTK-EN031,(C),Speed Duel: Trials of the Kingdom,1.1
96643568,Wetha,Normal Monster,normal,A spirit that controls rain and is capable of summoning hurricanes to blow the enemy away.,1000.0,900.0,3.0,Aqua,WATER,,SBTK-EN005,(C),Speed Duel: Trials of the Kingdom,1.09
300104001,Zombie Master (Skill Card),Skill Card,skill,"Activate this Skill during your Main Phase. Once per Duel, you can choose 1 Level 4 or lower Zombie monster you control, and it gains the following effect while face-up on the field.
● Once per turn: You can send 1 monster from your hand to the GY, then target 1 Level 4 or lower Zombie monster in either GY; Special Summon that target. This monster must be face-up on the field to activate and to resolve this effect.",,,,Bonz,,,SBTK-ENS01,(SR),Speed Duel: Trials of the Kingdom,1.84
