id,name,type,frameType,desc,atk,def,level,race,attribute,archetype,banlist_info,Set Code,Set_Rarity,Set_Name,Set_Price
66835946,Pyramid of Wonders,Spell Card,spell,"All Zombie monsters you control gain 200 ATK for each monster your opponent controls. If exactly 1 Zombie monster you control (and no other cards) would be destroyed, you can send this card to the GY instead.",,,,Continuous,,,,SBAD-EN020,(C),Speed Duel: Attack from the Deep,1.1
31785398,Ready for Intercepting,Trap Card,trap,Target 1 Warrior or Spellcaster monster on the field; change that target to face-down Defense Position.,,,,Normal,,,,SBAD-EN044,(C),Speed Duel: Attack from the Deep,1.02
83258273,Robbin' Zombie,Trap Card,trap,If your monster inflicts battle damage to your opponent: Send the top card of their Deck to the GY.,,,,Continuous,,,,SBAD-EN016,(C),Speed Duel: Attack from the Deep,1.06
49868263,Ryu Senshi,Fusion Monster,fusion,"""Warrior Dai Grepher"" + ""Spirit Ryu""
A Fusion Summon of this card can only be done with the above Fusion Materials. When a Normal Trap Card is activated (Quick Effect): You can pay 1000 LP; negate that effect. This card must be face-up on the field to activate and to resolve this effect. Negate the effects of any Spell Card that targets this card and destroy it.",2000.0,1200.0,6.0,Warrior,EARTH,,,SBAD-EN040,(SR),Speed Duel: Attack from the Deep,3.92
8131171,Sinister Serpent,Effect Monster,effect,"During your Standby Phase, if this card is in your GY: You can add it to your hand, also banish 1 ""Sinister Serpent"" from your GY during your opponent's next End Phase. You can only use this effect of ""Sinister Serpent"" once per turn.",300.0,250.0,1.0,Reptile,WATER,,{'ban_goat': 'Limited'},SBAD-EN037,(C),Speed Duel: Attack from the Deep,1.82
84650463,Slushy,Effect Monster,effect,"When this card is Normal Summoned: You can send 1 ""Slushy"" from your Deck to the GY. If you have 3 copies of ""Slushy"" total, either banished and/or in your GY (combined): You can banish this card from your GY, then target 1 Level 5 or higher Sea Serpent monster in your GY; Special Summon that target. You can only use this effect of ""Slushy"" once per turn.",0.0,0.0,2.0,Aqua,WATER,,,SBAD-EN029,(C),Speed Duel: Attack from the Deep,1.08
57617178,Sonic Bird,Effect Monster,effect,When this card is Normal or Flip Summoned: You can add 1 Ritual Spell from your Deck to your hand.,1400.0,1000.0,4.0,Winged Beast,WIND,,,SBAD-EN011,(UR),Speed Duel: Attack from the Deep,4.09
84696266,Sonic Duck,Normal Monster,normal,"A duck which can walk at a sonic speed. Sometimes, he cannot deal with his incredible pace and loses control.",1700.0,700.0,3.0,Winged Beast,WIND,,,SBAD-EN036,(C),Speed Duel: Attack from the Deep,1.23
37120512,Sword of Dark Destruction,Spell Card,spell,Equip only to a DARK monster. It gains 400 ATK and loses 200 DEF.,,,,Equip,,,,SBAD-EN019,(C),Speed Duel: Attack from the Deep,1.02
94861297,The Forceful Checkpoint,Trap Card,trap,"When an opponent's monster declares an attack: Look at your opponent's hand, and if there is a Monster Card, negate the attack, then discard 1 monster from their hand (your choice).",,,,Normal,,,,SBAD-EN045,(UR),Speed Duel: Attack from the Deep,3.21
3643300,The Legendary Fisherman,Effect Monster,effect,"While ""Umi"" is on the field, this card is unaffected by Spell effects and cannot be targeted for attacks, but does not prevent your opponent from attacking you directly.",1850.0,1600.0,5.0,Warrior,WATER,Umi,,SBAD-EN023,(C),Speed Duel: Attack from the Deep,1.02
300102001,The World's Greatest Fisherman,Skill Card,skill,"[Flip this card over when you activate this Skill.]

Once per turn, you can pay 500 LP and discard 1 WATER monster, then add 1 WATER monster from your GY to your hand, with a different name and with a Level no more than twice the discarded monster's Level. If you do that, flip this card over.",,,,Mako,,,,SBAD-ENS01,(UR),Speed Duel: Attack from the Deep,1.47
51838385,Theban Nightmare,Effect Monster,effect,Gains 1500 ATK while you have no cards in your hand nor in your Spell & Trap Zones.,1500.0,500.0,4.0,Fiend,LIGHT,,,SBAD-EN038,(C),Speed Duel: Attack from the Deep,1.03
22702055,Umi,Spell Card,spell,"All Fish, Sea Serpent, Thunder, and Aqua monsters on the field gain 200 ATK/DEF, also all Machine and Pyro monsters on the field lose 200 ATK/DEF.",,,,Field,,Umi,,SBAD-EN031,(C),Speed Duel: Attack from the Deep,1.29
300102005,Viral Infection,Skill Card,skill,"[Flip this card over when you activate this Skill.]

Once per turn, discard any number of cards and declare 1 type of card (Monster, Spell, or Trap). Your opponent sends 1 card of the declared type from their Deck to the GY for each discarded card. If you do that, flip this card over.",,,,Kaiba,,,,SBAD-ENS05,(UR),Speed Duel: Attack from the Deep,3.33
75953262,Warrior Dai Grepher,Normal Monster,normal,The warrior who can manipulate dragons. Nobody knows his mysterious past.,1700.0,1600.0,4.0,Warrior,EARTH,Grepher,,SBAD-EN035,(C),Speed Duel: Attack from the Deep,1.04
90873992,Warrior Elimination,Spell Card,spell,Destroy all Warrior monsters on the field.,,,,Normal,,,,SBAD-EN041,(C),Speed Duel: Attack from the Deep,1.03
49669730,Water Hazard,Spell Card,spell,Once per turn: You can Special Summon 1 Level 4 or lower WATER monster from your hand. You must control no monsters to activate and to resolve this effect.,,,,Continuous,,,,SBAD-EN033,(C),Speed Duel: Attack from the Deep,1.13
51534754,Yomi Ship,Effect Monster,effect,If this card is destroyed by battle and sent to the GY: Destroy the monster that destroyed this card.,800.0,1400.0,3.0,Aqua,WATER,,,SBAD-EN024,(SR),Speed Duel: Attack from the Deep,3.42
81616639,Zombina,Effect Monster,effect,"If this card in its owner's possession is destroyed by an opponent's card: You can target 1 Level 4 or lower monster in your GY, except ""Zombina""; Special Summon it.",1400.0,1500.0,4.0,Zombie,EARTH,,,SBAD-EN017,(SR),Speed Duel: Attack from the Deep,4.1
