id,name,type,frameType,desc,atk,def,level,race,attribute,archetype,Set Code,Set_Rarity,Set_Name,Set_Price
19159413,De-Spell,Spell Card,spell,"Target 1 face-up Spell, or 1 Set Spell/Trap, on the field; destroy that target if it is a Spell. (If the target is Set, reveal it.)",,,,Normal,,,SBLS-EN037,(C),Speed Duel: Arena of Lost Souls,1.24
10209545,Decayed Commander,Effect Monster,effect,"When this card is Normal Summoned: You can Special Summon 1 ""Zombie Tiger"" from your hand. If this card inflicts battle damage to your opponent by a direct attack: Discard 1 random card from their hand.",1000.0,1500.0,4.0,Zombie,EARTH,,SBLS-EN032,(C),Speed Duel: Arena of Lost Souls,1.07
81977953,Desert Twister,Effect Monster,effect,"Cannot be Normal Summoned or Set. Must be Special Summoned (from your hand) by banishing 2 WIND and 1 EARTH monsters from your GY. Once per turn: You can discard 1 card, then target 1 Spell/Trap on the field; destroy it.",2300.0,2000.0,6.0,Fiend,WIND,,SBLS-EN019,(UR),Speed Duel: Arena of Lost Souls,1.93
87880531,Diffusion Wave-Motion,Spell Card,spell,"(This card is not treated as a ""Fusion"" card.)
If your opponent controls a monster: Pay 1000 LP, then target 1 Level 7 or higher Spellcaster monster you control; this turn, it must attack all monsters your opponent controls once each, also other monsters you control cannot attack. The effects of monsters destroyed by these attacks cannot activate and are negated.",,,,Normal,,,SBLS-EN008,(C),Speed Duel: Arena of Lost Souls,1.08
66672569,Dragon Zombie,Normal Monster,normal,A dragon revived by sorcery. Its breath is highly corrosive.,1600.0,0.0,3.0,Zombie,DARK,,SBLS-EN028,(C),Speed Duel: Arena of Lost Souls,1.37
300101001,Ectoplasmic Fortification!,Skill Card,skill,"[Flip this card over when you activate this Skill.] 

Once per turn, if you control a Zombie monster, you can place 1 counter on this card. All Zombie monsters you control gain 100 ATK and lose 100 DEF for each counter on this card. Any battle damage you take from battles involving your Zombie monster is doubled.",,,,Bonz,,,SBLS-ENS01,(SR),Speed Duel: Arena of Lost Souls,2.5
22134079,Gravekeeper's Ambusher,Effect Monster,effect,"When this card is flipped face-up: You can target 1 card in your opponent's GY; place that target on the bottom of their Deck. If this card is sent from the field to the GY after being flipped face-up: You can target 1 ""Necrovalley"" card in your GY; add that target to your hand. These effects are unaffected by ""Necrovalley"".",1700.0,0.0,4.0,Spellcaster,DARK,Gravekeeper's,SBLS-EN022,(C),Speed Duel: Arena of Lost Souls,1.1
54622031,Great Mammoth of Goldfine,Fusion Monster,fusion,"""The Snake Hair"" + ""Dragon Zombie""",2200.0,1800.0,6.0,Zombie,DARK,,SBLS-EN034,(C),Speed Duel: Arena of Lost Souls,1.5
73048641,Half Shut,Spell Card,spell,"Target 1 face-up monster on the field; it cannot be destroyed by battle this turn, also its ATK is halved until the end of this turn.",,,,Quick-Play,,,SBLS-EN043,(C),Speed Duel: Arena of Lost Souls,1.07
52040216,Harpie's Pet Dragon,Effect Monster,effect,"Gains 300 ATK/DEF for each ""Harpie Lady"" on the field.",2000.0,2500.0,7.0,Dragon,WIND,Harpie,SBLS-EN020,(C),Speed Duel: Arena of Lost Souls,1.91
90876561,Jack's Knight,Normal Monster,normal,"A strong master swordsman. His loyalty is to justice, his duty to protect the weak.",1900.0,1000.0,5.0,Warrior,LIGHT,Knight,SBLS-EN006,(C),Speed Duel: Arena of Lost Souls,1.15
36021814,King of the Skull Servants,Effect Monster,effect,"The original ATK of this card is the combined number of ""King of the Skull Servants"" and ""Skull Servant"" in your GY x 1000. When this card is destroyed by battle and sent to the GY: You can banish 1 other ""King of the Skull Servants"" or 1 ""Skull Servant"" from your GY; Special Summon this card.",0.0,0.0,1.0,Zombie,DARK,Skull Servant,SBLS-EN031,(SR),Speed Duel: Arena of Lost Souls,8.32
64788463,King's Knight,Effect Monster,effect,"When this card is Normal Summoned while you control ""Queen's Knight"": You can Special Summon 1 ""Jack's Knight"" from your Deck.",1600.0,1400.0,4.0,Warrior,LIGHT,Knight,SBLS-EN005,(SR),Speed Duel: Arena of Lost Souls,3.2
82324105,Limit Impulse,Trap Card,trap,"Send 2 cards from your hand to the GY; Special Summon 2 ""Soul Tokens"" (Fiend/DARK/Level 1/ATK 0/DEF 0). They cannot be Tributed except for a Tribute Summon.",,,,Normal,,,SBLS-EN045,(C),Speed Duel: Arena of Lost Souls,1.03
46474915,Magical Ghost,Normal Monster,normal,This creature casts a spell of terror and confusion just before attacking its enemies.,1300.0,1400.0,4.0,Zombie,DARK,,SBLS-EN030,(C),Speed Duel: Arena of Lost Souls,1.13
36045450,Magicians Unite,Spell Card,spell,"If you control 2 or more Attack Position Spellcaster monsters: Target 1 of them; its ATK becomes 3000 until the end of this turn, also for the rest of this turn after this card resolves, other Spellcaster monsters you control cannot attack.",,,,Normal,,,SBLS-EN009,(C),Speed Duel: Arena of Lost Souls,1.06
90660762,Meteor Black Dragon,Fusion Monster,fusion,"""Red-Eyes Black Dragon"" + ""Meteor Dragon""",3500.0,2000.0,8.0,Dragon,FIRE,Red-Eyes,SBLS-EN013,(SR),Speed Duel: Arena of Lost Souls,3.81
37580756,Michizure,Trap Card,trap,"When a monster is sent from the field to your GY, even during the Damage Step: Target 1 monster on the field; destroy it.",,,,Normal,,,SBLS-EN044,(UR),Speed Duel: Arena of Lost Souls,3.19
68516705,Mystic Horseman,Normal Monster,normal,"Half man and half horse, this monster is known for its extreme speed.",1300.0,1550.0,4.0,Beast,EARTH,,SBLS-EN010,(C),Speed Duel: Arena of Lost Souls,1.09
52860176,Possessed Dark Soul,Effect Monster,effect,You can Tribute this face-up card; take control of all face-up Level 3 or lower monsters your opponent currently controls.,1200.0,800.0,3.0,Fiend,DARK,,SBLS-EN003,(C),Speed Duel: Arena of Lost Souls,1.13
25652259,Queen's Knight,Normal Monster,normal,"This knight catches her opponents off guard, dominating them with swift yet graceful attacks.",1500.0,1600.0,4.0,Warrior,LIGHT,Knight,SBLS-EN004,(C),Speed Duel: Arena of Lost Souls,2.14
94905343,Rabid Horseman,Fusion Monster,fusion,"""Battle Ox"" + ""Mystic Horseman""",2000.0,1700.0,6.0,Beast-Warrior,EARTH,,SBLS-EN011,(C),Speed Duel: Arena of Lost Souls,1.08
300101004,Royal Flush,Skill Card,skill,"[Flip this card over when you activate this Skill.]

Once per turn, if you control ""Queen's Knight"", you can pay 1000 LP to Normal Summon 1 ""King's Knight"" in addition to your Normal Summon or Set. ""King's Knight"" and ""Jack's Knight"" you control cannot attack directly the turn you use this Skill.",,,,Yugi,,,SBLS-ENS04,(SR),Speed Duel: Arena of Lost Souls,1.63
23401839,Senju of the Thousand Hands,Effect Monster,effect,When this card is Normal or Flip Summoned: You can add 1 Ritual Monster from your Deck to your hand.,1400.0,1000.0,4.0,Fairy,LIGHT,,SBLS-EN017,(SR),Speed Duel: Arena of Lost Souls,6.93
52097679,Shield & Sword,Spell Card,spell,"Switch the original ATK and DEF of all face-up monsters currently on the field, until the end of this turn.",,,,Normal,,,SBLS-EN014,(C),Speed Duel: Arena of Lost Souls,1.14
32274490,Skull Servant,Normal Monster,normal,A skeletal ghost that isn't strong but can mean trouble in large numbers.,300.0,200.0,1.0,Zombie,DARK,Skull Servant,SBLS-EN025,(C),Speed Duel: Arena of Lost Souls,2.33
33245030,Sphere Kuriboh,Effect Monster,effect,"When an opponent's monster declares an attack: You can send this card from your hand to the GY; change the attacking monster to Defense Position. When you Ritual Summon, you can banish this card from your GY as 1 of the monsters required for the Ritual Summon.",300.0,200.0,1.0,Fiend,DARK,Kuriboh,SBLS-EN018,(UR),Speed Duel: Arena of Lost Souls,7.38
300101002,Straight to the Grave,Skill Card,skill,"[At the start of the Duel, place this card in your Field Zone and flip it over.]

All Dinosaur, Zombie, and Rock monsters on the field gain 200 ATK/DEF.",,,,Bonz,,,SBLS-ENS02,(SR),Speed Duel: Arena of Lost Souls,1.53
61405855,Sword of Dragon's Soul,Spell Card,spell,"Equip only to a Warrior monster. It gains 700 ATK. After damage calculation, if the equipped monster battled a Dragon monster: Destroy that monster at the end of that Battle Phase.",,,,Equip,,,SBLS-EN015,(SR),Speed Duel: Arena of Lost Souls,2.53
43434803,The Shallow Grave,Spell Card,spell,Each player targets 1 monster in their own GY; each player Special Summons the target from their GY in face-down Defense Position.,,,,Normal,,,SBLS-EN039,(C),Speed Duel: Arena of Lost Souls,1.5
29491031,The Snake Hair,Normal Monster,normal,A monster with a head of poison snakes. One look from this monster can turn an opponent to stone.,1500.0,1200.0,4.0,Zombie,DARK,,SBLS-EN026,(C),Speed Duel: Arena of Lost Souls,1.07
300101005,Tomb of the Pharaoh,Skill Card,skill,"[At the start of the Duel, place this card in your Field Zone and flip it over.]

This card's name is always treated as ""Necrovalley"".
All ""Gravekeeper's"" monsters on the field gain 200 ATK/DEF.",,,,Ishizu,,,SBLS-ENS05,(UR),Speed Duel: Arena of Lost Souls,3.05
45939841,Twister,Spell Card,spell,"Pay 500 LP, then target 1 face-up Spell/Trap on the field; destroy that target.",,,,Quick-Play,,,SBLS-EN042,(UR),Speed Duel: Arena of Lost Souls,2.59
90434926,Veil of Darkness,Spell Card,spell,"During your Draw Phase, if you draw a DARK monster(s): You can reveal any number of them; send them to the GY, then you can draw 1 more card.",,,,Continuous,,,SBLS-EN023,(C),Speed Duel: Arena of Lost Souls,1.04
15052462,Violet Crystal,Spell Card,spell,"(This card is not treated as a ""Crystal"" card.)
Equip only to a Zombie monster. It gains 300 ATK/DEF.",,,,Equip,,,SBLS-EN035,(C),Speed Duel: Arena of Lost Souls,1.03
23424603,Wasteland,Spell Card,spell,"All Dinosaur, Zombie, and Rock monsters on the field gain 200 ATK/DEF.",,,,Field,,,SBLS-EN036,(C),Speed Duel: Arena of Lost Souls,1.07
91996584,Whiptail Crow,Normal Monster,normal,Attacks from the skies with a whip-like tail.,1650.0,1600.0,4.0,Fiend,DARK,,SBLS-EN002,(C),Speed Duel: Arena of Lost Souls,1.02
18756904,White Elephant's Gift,Spell Card,spell,Send 1 face-up non-Effect Monster you control to the GY; draw 2 cards.,,,,Normal,,,SBLS-EN040,(C),Speed Duel: Arena of Lost Souls,1.09
68427465,Wicked-Breaking Flamberge - Baou,Spell Card,spell,"Send 1 card from your hand to the GY, then target 1 monster on the field; equip this card to that target. It gains 500 ATK. Negate the effects of opponent's monsters destroyed by battle with the equipped monster.",,,,Equip,,Guardian,SBLS-EN041,(C),Speed Duel: Arena of Lost Souls,1.2
47693640,Zombie Tiger,Union Effect Monster,effect,"Once per turn, you can either: Target 1 ""Decayed Commander"" you control; equip this card to that target, OR: Unequip this card and Special Summon it in Attack Position. While equipped by this effect, the equipped monster gains 500 ATK/DEF. If the equipped monster destroys an opponent's monster by battle: Discard 1 random card from their hand. (A monster can only be equipped with 1 Union monster at a time. If the equipped monster would be destroyed by battle, destroy this card instead.)",1400.0,1600.0,3.0,Zombie,EARTH,,SBLS-EN033,(C),Speed Duel: Arena of Lost Souls,1.24
